id,old_id,cod_usuario,codTipoSol,id_sol,fecCreacionSol,horaCracionSol,yeard,pagoSolicitud,intermedioStatus,recepcionador,horaRecepcion,solicitudEncontrado,observacionNE,calificador,buscador,fechaDespacho,pagoSolicitud,tipoDocumento,numFolios,cantDocSolicita,fechaPreEntrega,HoraPreEntrega
,67,18638,1,23524,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,68,18639,1,23525,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,69,18639,1,23526,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,70,18639,1,23527,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,71,18639,1,23528,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,72,18639,1,23529,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,73,18634,2,2830,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,74,17907,1,23530,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,75,10560,1,23531,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,76,10560,1,23532,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,77,18640,1,23533,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,78,18640,1,23534,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,79,18640,1,23535,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,80,18640,1,23536,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,81,18640,1,23537,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,82,18640,1,23538,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,83,14970,1,23539,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,84,4450,1,23540,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,85,4450,3,1171,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,86,882,1,23541,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,87,18641,1,23542,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,88,17938,1,23543,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,89,17938,3,1172,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,90,3974,1,23544,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,91,18642,1,23545,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,92,17463,1,23546,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,93,18643,1,23547,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,94,17726,1,23548,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,95,8541,1,23549,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,96,8541,1,23550,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,97,8068,1,23551,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,98,18644,3,1173,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,99,11778,1,23552,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,100,18645,3,1174,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,101,18646,1,23553,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,102,18647,1,23554,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,103,18647,1,23555,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,104,18647,1,23556,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,105,18647,1,23557,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,106,18647,1,23558,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,107,18648,1,23559,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,108,18649,1,23560,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,109,18649,1,23561,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,110,18650,1,23562,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,111,18651,3,1175,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,112,18652,1,23563,07/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,113,15997,1,23564,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,114,11029,1,23565,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,115,18653,3,1176,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,116,5831,1,23566,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,117,18654,1,23567,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,118,8541,1,23568,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,119,18656,1,23569,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,120,18656,1,23570,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,121,18193,1,23571,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,122,3127,3,1177,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,123,18657,1,23572,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,124,18655,1,23573,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,125,18658,1,23574,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,126,18659,1,23575,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,127,18660,1,23576,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,128,18618,2,2831,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,129,18662,1,23577,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,130,18662,1,23578,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,131,18663,1,23579,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,132,18665,1,23580,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,133,18666,1,23581,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,134,18666,1,23582,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,135,18667,1,23583,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,136,18668,1,23584,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,137,18668,1,23585,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,138,17362,1,23586,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,139,18669,1,23587,08/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,140,11778,1,23588,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,141,4013,1,23589,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,142,17463,1,23590,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,143,11778,1,23591,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,144,18559,1,23592,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,145,18670,1,23593,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,146,18671,1,23594,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,147,18673,1,23595,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,148,18673,1,23596,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,149,18674,1,23597,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,150,18676,1,23598,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,151,2093,1,23599,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,152,2093,1,23600,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,153,18677,1,23601,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,154,17192,1,23602,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,155,18675,1,23603,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,156,5208,1,23604,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,157,18679,1,23605,09/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,158,2715,1,23606,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,159,2715,1,23607,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,160,18681,3,1178,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,161,18682,1,23608,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,162,18683,1,23609,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,163,17365,1,23610,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,164,18683,1,23611,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,165,18685,1,23612,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,166,18686,1,23613,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,167,18687,1,23614,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,168,18688,1,23615,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,169,18689,2,2832,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,170,18690,1,23616,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
